id,parameter,value,units,source,doi
1,latitude,-37.7306,degrees_north,Coutts et al. 2007a,10.1016/j.atmosenv.2006.08.030
2,longitude,145.0145,degrees_east,Coutts et al. 2007a,10.1016/j.atmosenv.2006.08.030
3,ground_height,93,m,Coutts et al. 2007a,10.1016/j.atmosenv.2006.08.030
4,measurement_height_above_ground,40,m,Coutts et al. 2007b,10.1175/JAM2462.1
5,impervious_area_fraction,0.62,1,Grimmond et al. 2011,10.1002/joc.2227
6,tree_area_fraction,0.225,1,Grimmond et al. 2011,10.1002/joc.2227
7,grass_area_fraction,0.15,1,Grimmond et al. 2011,10.1002/joc.2227
8,bare_soil_area_fraction,0.005,1,Grimmond et al. 2011,10.1002/joc.2227
9,water_area_fraction,0,1,Grimmond et al. 2011,10.1002/joc.2227
10,roof_area_fraction,0.445,1,Grimmond et al. 2011,10.1002/joc.2227
11,road_area_fraction,0.13,1,Grimmond et al. 2011,10.1002/joc.2227
12,footpath_area_fraction,0.045,1,Grimmond et al. 2011,10.1002/joc.2227
13,building_mean_height,6.4,m,Grimmond et al. 2011,10.1002/joc.2227
14,tree_mean_height,5.7,m,Nice et al. 2018,10.1016/j.uclim.2017.12.008
15,roughness_length_momentum,0.4,m,Grimmond et al. 2011,10.1002/joc.2227
16,displacement_height,4.57,m,Macdonald et al. 1998,10.1016/S1352-2310(97)00403-2
17,canyon_height_width_ratio,0.42,1,Grimmond et al. 2011,10.1002/joc.2227
18,wall_to_plan_area_ratio,0.4,1,Grimmond et al. 2011,10.1002/joc.2227
19,average_albedo_at_midday,0.15,1,Grimmond et al. 2011,10.1002/joc.2227
20,resident_population_density,415.78,person/km2,Grimmond et al. 2011,10.1002/joc.2227
21,anthropogenic_heat_flux_mean,11,W/m2,Best and Grimmond 2016,10.1007/s00704-015-1554-3
22,topsoil_clay_fraction,0.18,1,openlandmap.org,
23,topsoil_sand_fraction,0.72,1,openlandmap.org,
24,topsoil_bulk_density,1230,kg/m3,openlandmap.org,